parameter,radius,thickness,pressure,all,all_const_mass
0,0,0,0,0,0
1,3.382438466053,1.00000000000006,4.24031790946329,1.84654730510952,-0.678093375554671
2,6.80937118809281,2.00000000000006,8.56026232219393,3.70641440455397,-1.35274223393371
3,10.2787093735039,3.00000000000004,12.9561207619775,5.57951343004586,-2.0237574291435
4,13.7883596193766,4.00000000000001,17.4241210966081,7.46575733619319,-2.69096248120511
5,17.3362356070718,5.00000000000001,21.9604677829145,9.36505989968893,-3.35419314762931
6,20.9202690635005,6.00000000000009,26.5613760720355,11.2773357180523,-4.01329699226419
7,24.5384198775808,7.00000000000001,31.2231035544903,13.2025002079492,-4.66813295312673
8,28.1886852869426,8.0000000000001,35.94197856898,15.1404696031096,-5.31857091072551
9,31.8691080764714,9,40.714425147784,17.0911609518683,-5.96449125827875
10,35.5777837557426,10.0000000000001,45.5369843162633,19.0544921143464,-6.60578447512718
11,39.312866706014,11.0000000000001,50.4063316970992,21.0303817592951,-7.24235070453024
12,43.0725753086296,12.0000000000001,55.3192914861911,23.0187493606232,-7.87409933692945
13,46.8551960850073,13,60.2728469633415,25.0195151936243,-8.50094859965499
14,50.6590868936502,14.0000000000001,65.2641477755545,27.0326003309233,-9.12282515394837
15,54.4826792417115,15.0000000000001,70.290514284181,29.0579266381606,-9.73966370007074
16,58.3244797777099,16,75.3494393007075,31.0954167694284,-10.3514065911719
17,62.1830710381358,17.0000000000001,80.4385875520046,33.1449941624785,-10.9580034564975
18,66.0571115242507,18,85.555793217164,35.206583033714,-11.559410834429
19,69.9453351866339,19,90.6990558676097,37.2801083729818,-12.1555918157586
20,73.8465503943343,20.0000000000001,95.8665351229519,39.3654959381798,-12.7465156975317
21,77.759638463207,21.0000000000001,101.056544309733,41.4626722496916,-13.3321576477082
22,81.6835518144653,22,106.267543381168,43.5715645846641,-13.9124983808306
23,85.6173118300286,23,111.498131325173,45.6921009711366,-14.4875238448211
24,89.5600064661233,23.9999999999999,116.747038256966,47.8242101820386,-15.0572249189748
25,93.5107876811052,25,122.013117362493,49.9678217290625,-15.6215971231603
26,97.4688687277973,26.0000000000001,127.295336830717,52.1228658564269,-16.1806403381956
27,101.433521354958,27,132.592771886931,54.2892735345363,-16.7343585373201
28,105.404072956964,28,137.90459701608,56.4669764535528,-17.2827595286501
29,109.379903705493,29,143.230078444605,58.6559070168823,-17.8258547084668
30,113.360443692018,30.0000000000001,148.568566931683,60.855998334592,-18.3636588251611
31,117.345170105325,31.0000000000001,153.919490905665,63.0671842167602,-18.8961897536307
32,121.333604464041,32.0000000000002,159.282349968897,65.2893991667737,-19.4234682799027
33,125.325309920399,33,164.656708783725,67.5225783745745,-19.9455178957403
34,129.319888648039,34.0000000000001,170.042191344065,69.7666577098676,-20.4623646029727
35,133.316979323698,35.0000000000001,175.438475630178,72.0215737152947,-20.9740367272741
36,137.31625471,36,180.845288639126,74.2872635995799,-21.4805647411167
37,141.317419344337,37.0000000000002,186.262401779404,76.5636652306577,-21.9819810955994
38,145.320207336876,38,191.689626615321,78.8507171287821,-22.4783200608654
39,149.324380279139,39.0000000000001,197.12681094476,81.1483584596309,-22.9696175748069
40,153.329725263198,40.0000000000001,202.573835192576,83.4565290274038,-23.4559110997573
41,157.336053010456,41,208.030609101193,85.775169267922,-23.9372394868741
42,161.34319610805,42.0000000000001,213.49706869973,88.1042202417354,-24.4136428479116
43,165.35100735019,43.0000000000001,218.973173533012,90.443623627239,-24.8851624340899
44,169.359358181219,44,224.458904132275,92.7933217138038,-25.3518405217674
45,173.368137236699,45,229.954259709834,95.1532573949291,-25.8137203046292
46,177.377248978595,46,235.459256060838,97.5233741614133,-26.2708457921119
47,181.386612420354,47,240.973923655911,99.9036160945541,-26.7232617137857
48,185.3961599376,48,246.498305909457,102.293927859376,-27.1710134294272
49,189.4058361601,49.0000000000001,252.032457609265,104.694254697891,-27.6141468445196
50,193.415596940654,50,257.576443493996,107.104542422395,-28.0527083309255
51,197.425408396599,51,263.13033696603,109.524737408797,-28.486744652486
52,201.435246019754,52,268.694218928052,111.954786590001,-28.9163028953056
53,205.445093850663,53.0000000000001,274.268176732584,114.394637449313,-29.341430402494
54,209.454943713218,54.0000000000001,279.852303234617,116.844238013907,-29.7621747131389
55,213.464794505808,55.0000000000001,285.446695938026,119.303536848334,-30.1785835052978
56,217.474651545395,56.0000000000001,291.051456227505,121.772483048074,-30.5907045427996
57,221.484525960981,57,296.666688678215,124.251026233146,-30.9985856256598
58,225.494434133209,58.0000000000001,302.292500436052,126.739116541763,-31.4022745439171
59,229.504397176909,59,307.929000662051,129.236704624047,-31.8018190347084
60,233.514440463703,60.0000000000001,313.576300035109,131.74374163579,-32.1972667424101
61,237.524593181783,61.0000000000001,319.234510307415,134.260179232282,-32.5886651816739
62,241.534887930313,62.0000000000001,324.903743907832,136.785969562184,-32.9760617032025
63,245.545360345955,63,330.584113588681,139.321065261462,-33.3595034621067
64,249.556048759183,64.0000000000001,336.27573211174,141.86541944739,-33.7390373887042
65,253.566993878299,65,341.978711969857,144.418985712592,-34.1147101616168
66,257.578238499019,66.0000000000001,347.693165140692,146.981718119166,-34.4865681830364
67,261.589827237855,67,353.419202869621,149.553571192849,-34.8546575560326
68,265.601806287427,68.0000000000001,359.156935478758,152.134499917259,-35.219024063783
69,269.614223192163,69.0000000000001,364.906472199913,154.724459728185,-35.5797131506134
70,273.627126642782,70,370.667921028745,157.32340650795,-35.9367699047367
71,277.640566288191,71.0000000000001,376.441388598418,159.931296579827,-36.2902390425923
72,281.654592563443,72,382.226980070545,162.548086702524,-36.640164894686
73,285.669256532572,73.0000000000001,388.024799041924,165.173734064728,-36.986591392838
74,289.684609745115,74,393.834947465239,167.808196279711,-37.3295620587545
75,293.700704105347,75,399.657525582625,170.45143138,-37.6691199938358
76,297.717591753129,76,405.492631870521,173.103397812108,-38.005307870148
77,301.735324955613,77,411.34036299472,175.764054431332,-38.3381679224779
78,305.753956008839,78,417.200813774851,178.433360496607,-38.6677419414082
79,309.773537148522,78.9999999999999,423.074077156684,181.111275665425,-38.9940712673396
80,313.794120469279,80,428.96024419213,183.797759988818,-39.317196785402
81,317.815757851611,81.0000000000001,434.859404025659,186.492773906399,-39.6371589211959
82,321.838500896145,82.0000000000001,440.771643886519,189.19627824147,-39.9539976373037
83,325.862400864315,83,446.697049086256,191.908234196183,-40.2677524305235
84,329.8875086253,84,452.635703020821,194.62860334677,-40.5784623297729
85,333.913874608387,85.0000000000001,458.587687176789,197.357347638829,-40.8861658946162
86,337.941548760572,86,464.553081141168,200.094429382674,-41.1909012143719
87,341.970580508843,87,470.531962614395,202.83981124874,-41.4927059077578
88,346.001018726771,88.0000000000002,476.524407426136,205.59345626305,-41.7916171230358
89,350.032911705177,89.0000000000001,482.530489553541,208.355327802744,-42.0876715386179
90,354.066307126326,90,488.550281141719,211.12538959166,-42.3809053641006
91,358.101252041578,91.0000000000002,494.583852525749,213.903605695977,-42.6713543416942
92,362.137792852067,92.0000000000001,500.631272254716,216.68994051992,-42.9590537480158
93,366.175975292204,93.0000000000002,506.692607116761,219.48435880151,-43.244038396218
94,370.2158444157,94.0000000000002,512.767922165349,222.286825608383,-43.526342638426
95,374.2574445841,95.0000000000001,518.857280746598,225.097306333659,-43.8060003684585
96,378.300819457277,96.0000000000001,524.960744527191,227.915766691868,-44.0830450248058
97,382.346011986053,97,531.078373523292,230.742172714926,-44.3575095938472
98,386.393064406494,98,537.210226129437,233.576490748178,-44.6294266132815
99,390.442018235967,99.0000000000001,543.356359148273,236.418687446479,-44.8988281757563
100,394.492914270557,100,549.516827820137,239.268729770341,-45.1657459326725
